suburb,state,postcode,seed_priority,market_tier,confidence,why_included,research_basis,source_url,in_original_file
Baulkham Hills,NSW,2153,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Blacktown,NSW,2148,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Brookvale,NSW,2100,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Burwood,NSW,2134,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Campbelltown,NSW,2560,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Charlestown,NSW,2290,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Coffs Harbour,NSW,2450,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Crows Nest,NSW,2065,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Dee Why,NSW,2099,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Dubbo,NSW,2830,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Gordon,NSW,2072,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Gosford,NSW,2250,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Haymarket,NSW,2000,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Hornsby,NSW,2077,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Hurstville,NSW,2220,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Kogarah,NSW,2217,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Lane Cove,NSW,2066,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Maitland,NSW,2320,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Mascot,NSW,2020,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
North Wollongong,NSW,2500,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Orange,NSW,2800,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Penrith,NSW,2750,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Pyrmont,NSW,2009,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Rhodes,NSW,2138,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Shellharbour,NSW,2529,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Surry Hills,NSW,2010,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Sydney Olympic Park,NSW,2127,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Tamworth,NSW,2340,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Ultimo,NSW,2007,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Wagga Wagga,NSW,2650,P3,regional_or_secondary_business_hub,low,Regional city centre or secondary suburban commercial node,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
Melbourne,VIC,3000,P1,capital_cbd_or_professional_office_hub,high,Capital-city CBD or professional-body office hub,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,TRUE
Southbank,VIC,3006,P1,capital_cbd_or_professional_office_hub,high,Capital-city CBD or professional-body office hub,"Heuristic seed based on CPA Australia / CA ANZ office locations, accounting-services industry classification, and suburb-postcode reference. Validate with CPA/CA directory counts before production use.",https://www.cpaaustralia.com.au/contact-us | https://www.charteredaccountantsanz.com/contact-us | https://www.abs.gov.au/statistics/classifications/australian-and-new-zealand-standard-industrial-classification-anzsic/2006-revision-2-0/detailed-classification/m/69/693/6932 | https://auspost.com.au/business/marketing-and-communications/access-data-and-insights/address-data/postcode-data | https://github.com/matthewproctor/australianpostcodes,FALSE
